Input_1;Input_2;Input_3;Input_4;Input_5;Input_6;Input_7;Output_1;Output_2
1.676;3.2784;8.3;4.4626;3.9141;3.6138;3.2607;800;0.1
1.439;2.8105;8.95;3.7725;3.3432;3.0913;2.7881;800;0.15
1.223;2.3809;8.95;3.1799;2.8424;2.6322;2.3747;800;0.2
0.946;1.8334;8.95;2.6681;2.4076;2.2328;2.0146;800;0.25
0.73;1.3717;8.3;2.2275;2.0336;1.8882;1.7037;800;0.3
0.592;1.1113;8.3;1.8604;1.7135;1.5929;1.4371;800;0.35
2.189;4.2159;6.882;5.2667;4.6557;4.2239;3.8093;800;0.05
2.011;3.9605;8.3;6.5266;5.8184;5.2622;4.7269;1200;0.1
2.11;4.1109;8.95;5.5246;4.9821;4.5119;4.0583;1200;0.15
1.597;3.1225;9.6;4.6684;4.2455;3.8516;3.4671;1200;0.2
1.38;2.6934;8.95;3.925;3.6046;3.2745;2.9496;1200;0.25
1.183;2.3027;8.95;3.2955;3.0514;2.7755;2.5008;1200;0.3
0.907;1.7552;8.95;2.7611;2.5765;2.3461;2.1143;1200;0.35
2.918;4.8056;7.65;7.6961;6.7654;6.1218;5.4987;1200;0.05
1.656;3.2394;8.95;4.6596;4.2034;3.8108;3.4328;1000;0.15
1.794;3.511;8.95;5.0947;4.5951;4.1639;3.7478;1100;0.15
2.228;4.2631;8.95;5.9487;5.364;4.8553;4.3639;1300;0.15
2.346;4.3899;8.95;6.3669;5.7414;5.1939;4.6649;1400;0.15
2.583;4.6045;8.95;6.7794;6.1138;5.5281;4.9616;1500;0.15
2.682;4.6771;9.6;7.1874;6.4815;5.8575;5.2536;1600;0.15
0.71;1.3344;7.65;1.93;1.7185;1.5923;1.4404;400;0.15
0.946;1.8334;7.65;2.3964;2.1317;1.9746;1.7848;500;0.15
1.065;2.0681;8.3;2.8627;2.5408;2.3518;2.1241;600;0.15
1.301;2.5372;8.3;3.3192;2.9444;2.724;2.4584;700;0.15
1.558;3.0445;8.95;4.2189;3.753;3.4537;3.1128;900;0.15
1.223;2.3809;8.95;3.3049;2.9774;2.7594;2.4875;1000;0.25
1.301;2.5372;8.95;3.6166;3.3214;3.0184;2.7199;1100;0.25
1.459;2.8495;9.6;4.2411;3.885;3.5283;3.1765;1300;0.25
