Input_P1D;Input_P2D;Input_P3D;Input_P4D;Input_P5D;Input_P1F;Input_P2F;Input_P3F;Input_P4F;Input_P5F;Output_1;Output_2
1.676;8.3;15;17;20;3.2784;4.4626;3.9141;3.6138;3.2607;800;0.1
1.439;8.95;15;17;20;2.8105;3.7725;3.3432;3.0913;2.7881;800;0.15
1.223;8.95;15;17;20;2.3809;3.1799;2.8424;2.6322;2.3747;800;0.2
0.946;8.95;15;17;20;1.8334;2.6681;2.4076;2.2328;2.0146;800;0.25
0.73;8.3;15;17;20;1.3717;2.2275;2.0336;1.8882;1.7037;800;0.3
0.592;8.3;15;17;20;1.1113;1.8604;1.7135;1.5929;1.4371;800;0.35
2.189;6.882;15;17;20;4.2159;5.2667;4.6557;4.2239;3.8093;800;0.05
2.011;8.3;15;17;20;3.9605;6.5266;5.8184;5.2622;4.7269;1200;0.1
2.11;8.95;15;17;20;4.1109;5.5246;4.9821;4.5119;4.0583;1200;0.15
1.597;9.6;15;17;20;3.1225;4.6684;4.2455;3.8516;3.4671;1200;0.2
1.38;8.95;15;17;20;2.6934;3.925;3.6046;3.2745;2.9496;1200;0.25
1.183;8.95;15;17;20;2.3027;3.2955;3.0514;2.7755;2.5008;1200;0.3
0.907;8.95;15;17;20;1.7552;2.7611;2.5765;2.3461;2.1143;1200;0.35
2.918;7.65;15;17;20;4.8056;7.6961;6.7654;6.1218;5.4987;1200;0.05
1.656;8.95;15;17;20;3.2394;4.6596;4.2034;3.8108;3.4328;1000;0.15
1.794;8.95;15;17;20;3.511;5.0947;4.5951;4.1639;3.7478;1100;0.15
2.228;8.95;15;17;20;4.2631;5.9487;5.364;4.8553;4.3639;1300;0.15
2.346;8.95;15;17;20;4.3899;6.3669;5.7414;5.1939;4.6649;1400;0.15
2.583;8.95;15;17;20;4.6045;6.7794;6.1138;5.5281;4.9616;1500;0.15
2.682;9.6;15;17;20;4.6771;7.1874;6.4815;5.8575;5.2536;1600;0.15
0.71;7.65;15;17;20;1.3344;1.93;1.7185;1.5923;1.4404;400;0.15
0.946;7.65;15;17;20;1.8334;2.3964;2.1317;1.9746;1.7848;500;0.15
1.065;8.3;15;17;20;2.0681;2.8627;2.5408;2.3518;2.1241;600;0.15
1.301;8.3;15;17;20;2.5372;3.3192;2.9444;2.724;2.4584;700;0.15
1.558;8.95;15;17;20;3.0445;4.2189;3.753;3.4537;3.1128;900;0.15
1.223;8.95;15;17;20;2.3809;3.3049;2.9774;2.7594;2.4875;1000;0.25
1.301;8.95;15;17;20;2.5372;3.6166;3.3214;3.0184;2.7199;1100;0.25
1.459;9.6;15;17;20;2.8495;4.2411;3.885;3.5283;3.1765;1300;0.25
1.538;9.6;15;17;20;3.0056;4.5442;4.1627;3.7789;3.4008;1400;0.25
1.656;9.6;15;17;20;3.2394;5.1407;4.7091;4.2723;3.8415;1600;0.25
1.597;9.6;15;17;20;3.1225;4.8441;4.4373;4.0271;3.6225;1500;0.25
0.513;7.65;15;17;20;0.9628;1.3544;1.233;1.1449;1.0349;400;0.25
0.592;8.3;15;17;20;1.1113;1.6854;1.5311;1.4213;1.2842;500;0.25
0.69;8.3;15;17;20;1.2972;2.0182;1.8263;1.6947;1.5305;600;0.25
0.848;8.3;15;17;20;1.6365;2.3416;2.1184;1.9651;1.7739;700;0.25
1.124;8.95;15;17;20;2.1854;2.99;2.694;2.4975;2.2524;900;0.25
2.169;8.3;15;17;20;4.1915;5.5088;4.914;4.4491;4.0061;1000;0.1
0.946;7.65;15;17;20;1.8334;2.2898;2.0167;1.8688;1.692;400;0.1
0.592;7.65;15;17;20;1.1113;1.6193;1.4583;1.3527;1.2231;400;0.2
0.434;7.65;15;17;20;0.8141;1.13;1.0397;0.9664;0.8732;400;0.3
0.355;8.3;15;17;20;0.6652;0.9491;0.8748;0.8139;0.7352;400;0.35
1.124;6.665;15;17;20;2.1854;2.701;2.3633;2.1909;1.9853;400;0.05
1.104;7.65;15;17;20;2.1463;2.8427;2.5009;2.3144;2.0946;500;0.1
0.71;7.65;15;17;20;1.3344;2.0112;1.8101;1.6784;1.5167;500;0.2
0.513;8.3;15;17;20;0.9628;1.4141;1.2915;1.2001;1.0841;500;0.3
0.414;8.3;15;17;20;0.7769;1.1798;1.087;1.0111;0.913;500;0.35
1.42;6.586;15;17;20;2.7714;3.3541;2.9293;2.713;2.4559;500;0.05
1.38;7.65;15;17;20;2.6934;3.3895;2.9785;2.7535;2.49;600;0.1
0.907;8.3;15;17;20;1.7552;2.4075;2.158;2.0001;1.8065;600;0.2
0.572;8.3;15;17;20;1.0742;1.6877;1.5411;1.4316;1.2927;600;0.3
0.493;8.3;15;17;20;0.9256;1.4085;1.2975;1.2067;1.0893;600;0.35
1.617;6.704;15;17;20;3.1615;3.9995;3.4854;3.2264;2.9174;600;0.05
1.538;8.3;15;17;20;3.0056;3.9292;3.4496;3.1862;2.8786;700;0.1
1.006;8.3;15;17;20;1.9508;2.7922;2.5021;2.3181;2.0925;700;0.2
0.651;8.3;15;17;20;1.2228;1.9589;1.7884;1.661;1.4993;700;0.3
0.532;8.3;15;17;20;0.9999;1.6354;1.5064;1.4006;1.264;700;0.35
1.873;6.803;15;17;20;3.6509;4.637;4.0332;3.7311;3.3692;700;0.05
2.031;8.3;15;17;20;3.9912;4.9892;4.4535;4.0351;3.637;900;0.1
1.321;8.95;15;17;20;2.5762;3.5571;3.1788;2.9426;2.6532;900;0.2
0.868;8.95;15;17;20;1.6759;2.5071;2.2765;2.1132;1.906;900;0.3
0.651;8.95;15;17;20;1.2228;2.0978;1.9191;1.7836;1.6087;900;0.35
2.011;6.921;15;17;20;3.9605;5.888;5.1927;4.7077;4.2412;900;0.05
1.42;8.95;15;17;20;2.7714;3.9301;3.5613;3.2492;2.9281;1000;0.2
0.946;8.95;15;17;20;1.8334;2.7723;2.5171;2.3361;2.1063;1000;0.3
0.73;8.95;15;17;20;1.3717;2.3207;2.1229;1.9727;1.7788;1000;0.35
2.011;7;15;17;20;3.9605;6.5005;5.7258;5.1849;4.6693;1000;0.05
2.327;8.3;15;17;20;4.3696;6.0212;5.3691;4.8591;4.3687;1100;0.1
1.518;8.95;15;17;20;2.9665;4.2989;3.9139;3.5519;3.1994;1100;0.2
1.104;8.95;15;17;20;2.1463;3.0351;2.7851;2.5568;2.3045;1100;0.3
0.848;8.95;15;17;20;1.6365;2.5418;2.3455;2.1601;1.9473;1100;0.35
2.8;7;15;17;20;4.7462;7.1024;6.251;5.6578;5.0884;1100;0.05
2.701;8.3;15;17;20;4.689;7.0239;6.2617;5.6583;5.0784;1300;0.1
1.696;9.6;15;17;20;3.3173;5.0295;4.5733;4.1472;3.7311;1300;0.2
1.242;8.95;15;17;20;2.4199;3.5535;3.2903;2.9921;2.695;1300;0.3
1.065;8.95;15;17;20;2.0681;2.9785;2.7796;2.5304;2.2798;1300;0.35
2.011;7.65;15;17;20;3.9605;8.282;7.27;6.5719;5.8953;1300;0.05
2.8;8.3;15;17;20;4.7462;7.5134;6.6993;6.0483;5.4244;1400;0.1
1.814;9.6;15;17;20;3.5469;5.3862;4.8976;4.4391;3.9916;1400;0.2
1.301;9.6;15;17;20;2.5372;3.824;3.5271;3.2066;2.8871;1400;0.3
1.104;8.95;15;17;20;2.1463;3.1942;2.9811;2.7131;2.4438;1400;0.35
3.707;7.65;15;17;20;5.0864;8.8542;7.775;7.1504;6.2875;1400;0.05
2.918;8.95;15;17;20;4.8056;7.9949;7.1304;6.4317;5.7657;1500;0.1
2.09;9.6;15;17;20;4.0814;5.7389;5.2182;4.7277;4.2483;1500;0.2
1.38;9.6;15;17;20;2.6934;4.0784;3.7618;3.4188;3.0773;1500;0.3
1.163;9.6;15;17;20;2.2636;3.4261;3.1809;2.8946;2.6064;1500;0.35
1.992;7.65;15;17;20;3.9294;9.4146;8.2716;7.596;6.8027;1500;0.05
2.011;8.95;15;17;20;3.9605;8.4709;7.5551;6.8914;6.0994;1600;0.1
2.189;9.6;15;17;20;4.2159;6.0871;5.5348;5.0127;4.5022;1600;0.2
1.439;9.6;15;17;20;2.8105;4.3305;3.9943;3.6292;3.2656;1600;0.3
1.223;9.6;15;17;20;2.3809;3.6395;3.3791;3.0743;2.7675;1600;0.35
3.431;8.3;15;17;20;5.0076;9.9676;8.7637;8.0355;7.1918;1600;0.05
