Input_1;Input_2;Input_3;Input_4;Input_5;Input_6;Input_7;Output_1;Output_2
0.0823;0.5952;0.1374;0.0112;0.024;0.0068;0.0132;1000;0.1
-0.2237;0.1645;0.5687;-0.1771;-0.1561;-0.17;-0.1644;1000;0.15
-0.3646;-0.0472;0.5687;-0.3389;-0.3189;-0.3256;-0.3207;1000;0.2
-0.4821;-0.2239;0.5687;-0.4776;-0.4669;-0.4612;-0.4572;1000;0.25
-0.6474;-0.4715;0.5687;-0.5957;-0.5836;-0.5784;-0.5753;1000;0.3
-0.7763;-0.6804;0.5687;-0.6958;-0.6836;-0.6791;-0.6767;1000;0.35
-0.0119;0.4907;-0.7253;0.2311;0.2298;0.2105;0.2186;1000;0.05
0.1766;0.6757;0.1374;0.1248;0.1394;0.1203;0.1255;1100;0.1
-0.1414;0.2873;0.5687;-0.0806;-0.0568;-0.0722;-0.0668;1100;0.15
-0.3061;0.041;0.5687;-0.2571;-0.2295;-0.2417;-0.2367;1100;0.2
-0.4356;-0.1532;0.5687;-0.4084;-0.3797;-0.3895;-0.3852;1100;0.25
-0.5531;-0.33;0.5687;-0.5374;-0.5157;-0.5173;-0.5139;1100;0.3
-0.7058;-0.5606;0.5687;-0.6468;-0.6271;-0.6272;-0.6245;1100;0.35
0.4588;0.8461;-0.7253;0.3646;0.363;0.3415;0.3484;1100;0.05
-0.0119;0.4907;0.1374;0.2369;0.2533;0.2319;0.2365;1200;0.1
0.0471;0.5587;0.5687;0.0147;0.0413;0.0241;0.0294;1200;0.15
-0.2589;0.1116;1;-0.1752;-0.1455;-0.1587;-0.1538;1200;0.2
-0.3884;-0.0825;0.5687;-0.34;-0.3079;-0.3185;-0.3141;1200;0.25
-0.506;-0.2593;0.5687;-0.4796;-0.4482;-0.4567;-0.4531;1200;0.3
-0.6706;-0.5069;0.5687;-0.5982;-0.5686;-0.5757;-0.5728;1200;0.35
0.5292;0.873;-0.294;0.4963;0.4934;0.47;0.4755;1200;0.05
0.3998;0.8202;0.1374;0.3472;0.3657;0.3416;0.3454;1300;0.1
