Input_1;Input_2;Input_3;Input_4;Input_5;Input_6;Input_7;Output_1;Output_2
0.082338902;0.59517778;0.137358991;0.011188113;0.024021093;0.006757505;0.0131958;-0.000429417;-0.636401008
-0.223747017;0.164480232;0.568679496;-0.177135887;-0.156130766;-0.170017725;-0.164389927;-0.000478014;-0.334385298
-0.364558473;-0.047226997;0.568679496;-0.338914454;-0.318916452;-0.325551124;-0.320726079;0.002667895;-0.013333573
-0.482100239;-0.223875871;0.568679496;-0.477562788;-0.46694723;-0.461199734;-0.457206579;0.00600466;0.331643462
-0.647374702;-0.471546187;0.568679496;-0.595675556;-0.58364284;-0.578431373;-0.575287303;0.011487107;0.685287457
-0.776252983;-0.68040351;0.568679496;-0.695825248;-0.683580727;-0.679073889;-0.676733885;0.01713193;0.955006913
-0.011933174;0.490681263;-0.725282017;0.231113822;0.229829254;0.210535061;0.218629;-0.009193368;-1.000187695
0.176610979;0.675744142;0.137358991;0.124821201;0.139398395;0.120305749;0.125514977;0.178238661;-0.638643448
-0.141408115;0.287342803;0.568679496;-0.08064534;-0.056826681;-0.072227761;-0.066815352;0.173339061;-0.31538808
-0.306085919;0.041029585;0.568679496;-0.257127017;-0.229525029;-0.241719287;-0.23668804;0.166380336;-0.005434966
-0.435560859;-0.153171085;0.568679496;-0.40843821;-0.379736085;-0.389470477;-0.385218226;0.163280146;0.332550484
-0.553102625;-0.330000905;0.568679496;-0.537395354;-0.515699274;-0.517309184;-0.513892761;0.164838773;0.678376988
-0.705847255;-0.560617027;0.568679496;-0.646792704;-0.627147004;-0.627174033;-0.624539231;0.185600583;1.022340758
0.458830549;0.84610513;-0.725282017;0.364594999;0.362978362;0.341503268;0.348449648;0.155167204;-0.998401532
-0.011933174;0.490681263;0.137358991;0.236901924;0.253305277;0.23194306;0.236471208;0.309416545;-0.698270215
0.047136038;0.55871709;0.568679496;0.014692022;0.041285857;0.024149773;0.029365301;0.341104177;-0.288210034
-0.258949881;0.111598661;1;-0.175184343;-0.145457542;-0.15871829;-0.15376514;0.347236931;0.004342211
-0.388424821;-0.082511535;0.568679496;-0.340045462;-0.307939003;-0.318544367;-0.314066227;0.328961596;0.344284027
-0.505966587;-0.259250882;0.568679496;-0.479647391;-0.448186693;-0.456740888;-0.453086764;0.328189574;0.689631207
-0.670644391;-0.506921198;0.568679496;-0.598159339;-0.568583706;-0.575661903;-0.572809218;0.357511356;1.046342365
0.529236277;0.872975663;-0.293961513;0.496257693;0.493389446;0.470006647;0.475544404;0.35344022;-0.92666236
0.399761337;0.820229802;0.137358991;0.347186339;0.365691034;0.341641741;0.345352043;0.509310562;-0.667672484
0.117541766;0.627567176;0.568679496;0.108743139;0.138105439;0.119253351;0.124028126;0.502620282;-0.315599831
-0.199880668;0.199719533;1;-0.095104507;-0.062353433;-0.076852775;-0.071988353;0.517106512;0.016291823
-0.341288783;-0.011897222;1;-0.269945113;-0.236851779;-0.248255234;-0.243781557;0.503503299;0.322555647
-0.470763723;-0.206233602;0.568679496;-0.422431668;-0.387620581;-0.396754182;-0.392931264;0.496148217;0.705837521
-0.576372315;-0.365375916;0.568679496;-0.54994733;-0.517093638;-0.524620583;-0.521543847;0.491056742;1.037948671
-0.011933174;0.490681263;-0.293961513;0.626190608;0.621316026;0.594660463;0.59839544;0.301216888;-1.066601974
0.458830549;0.84610513;0.137358991;0.455740977;0.476631723;0.449651047;0.452529195;0.642562538;-0.698720937
0.187947494;0.684927169;0.568679496;0.201485835;0.233784178;0.213027584;0.217266053;0.65962049;-0.354116982
-0.12947494;0.303582738;1;-0.016000444;0.019863352;0.003988036;0.008704272;0.682701998;0.020109793
-0.294152745;0.05871709;1;-0.202727726;-0.166449061;-0.178852332;-0.174302264;0.669947986;0.333668294
-0.435560859;-0.153171085;1;-0.362443865;-0.327586863;-0.337349064;-0.333426261;0.666710715;0.653990279
-0.553102625;-0.330000905;0.568679496;-0.502112325;-0.466009203;-0.474022377;-0.470743116;0.663161607;1.063746216
1;1;-0.293961513;0.753085325;0.749344015;0.754874266;0.71988353;0.83277117;-0.905279348
0.529236277;0.872975663;0.568679496;0.562521484;0.585924527;0.555832502;0.558250472;0.862081669;-0.633530095
0.329355609;0.782004886;0.568679496;0.292964462;0.328195312;0.30558325;0.30917201;0.825065868;-0.387916022
0.035202864;0.545372297;1;0.062216555;0.101142111;0.083914922;0.088219806;0.837719124;0.038599313
-0.258949881;0.111598661;1;-0.136219992;-0.096832258;-0.110114102;-0.105628349;0.837226444;0.336206803
-0.388424821;-0.082511535;1;-0.306026501;-0.268085538;-0.278580924;-0.274509804;0.82637819;0.66542648
-0.517899761;-0.276938388;1;-0.450684704;-0.415355753;-0.423756508;-0.420376049;0.822602808;0.985250418
-0.02326969;0.476612684;-0.293961513;0.877363198;0.875242429;0.878281821;0.879472168;0.817874287;-0.976617387
-0.011933174;0.490681263;0.568679496;0.668082275;0.693594798;0.683145009;0.66161757;1.025299355;-0.674450557
0.388424821;0.814846648;1;0.383445141;0.421414899;0.396809571;0.399622092;1.083982597;-0.324630368
0.094272076;0.606215507;1;0.139435605;0.181406787;0.162844799;0.166868011;0.998643705;-0.000891087
-0.223747017;0.164480232;1;-0.070444087;-0.027925313;-0.042206713;-0.037790788;0.998837858;0.326415857
-0.353221957;-0.029539492;1;-0.250119199;-0.209141959;-0.220311288;-0.216181891;0.988487591;0.673812603
-0.482100239;-0.223875871;1;-0.40335976;-0.365107936;-0.373989144;-0.370473624;0.980070279;0.998865262
0.835322196;0.964353569;0.137358991;1;1;1;1;1.266960342;-0.793565857
-0.647374702;-0.471546187;-0.293961513;-0.702677829;-0.710504633;-0.707848676;-0.703621101;-0.999423612;-0.607344915
